team,season,medal,count
United States,Summer,Gold,2333
Soviet Union,Summer,Gold,830
Germany,Summer,Gold,564
Italy,Summer,Gold,492
Great Britain,Summer,Gold,481
Hungary,Summer,Gold,432
France,Summer,Gold,421
East Germany,Summer,Gold,337
Australia,Summer,Gold,336
Sweden,Summer,Gold,326
China,Summer,Gold,294
Russia,Summer,Gold,294
Netherlands,Summer,Gold,235
Japan,Summer,Gold,230
Denmark,Summer,Gold,168
Cuba,Summer,Gold,164
Romania,Summer,Gold,161
South Korea,Summer,Gold,161
Norway,Summer,Gold,148
West Germany,Summer,Gold,144
Canada,Summer,Gold,133
Finland,Summer,Gold,132
India,Summer,Gold,131
Yugoslavia,Summer,Gold,130
Poland,Summer,Gold,111
Spain,Summer,Gold,107
Brazil,Summer,Gold,103
Switzerland,Summer,Gold,96
Belgium,Summer,Gold,92
Unified Team,Summer,Gold,92
Argentina,Summer,Gold,91
New Zealand,Summer,Gold,85
Czechoslovakia,Summer,Gold,79
Croatia,Summer,Gold,54
Bulgaria,Summer,Gold,53
Greece,Summer,Gold,42
Pakistan,Summer,Gold,42
Ukraine,Summer,Gold,42
Turkey,Summer,Gold,40
Jamaica,Summer,Gold,38
Kenya,Summer,Gold,34
South Africa,Summer,Gold,32
Uruguay,Summer,Gold,31
Mexico,Summer,Gold,30
Austria,Summer,Gold,28
China-1,Summer,Gold,26
United States-1,Summer,Gold,24
Nigeria,Summer,Gold,23
Ethiopia,Summer,Gold,22
Australasia,Summer,Gold,20
Cameroon,Summer,Gold,20
Kazakhstan,Summer,Gold,19
Belarus,Summer,Gold,18
Iran,Summer,Gold,18
Leander Club-1,Summer,Gold,18
Vesper Boat Club,Summer,Gold,18
"Large boat, Central Naval Prep School ""Poros""-1",Summer,Gold,17
Union des Socits Franais de Sports Athletiques,Summer,Gold,17
Zimbabwe,Summer,Gold,17
Great Britain-1,Summer,Gold,16
North Korea,Summer,Gold,16
Czech Republic,Summer,Gold,15
Serbia,Summer,Gold,15
China-2,Summer,Gold,14
Fiji,Summer,Gold,13
Galt Football Club,Summer,Gold,13
Slovakia,Summer,Gold,13
