_id,Region,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
1,North of Scotland,"C00-C97, excluding C44",All cancer types,All,d,2016-2020,77,64,38,75,110,242,437,565,812,1381,2492,3400,4657,6200,6826,6118,4868,3099,1501,42962,22.33781153,16.94139073,10.36487073,20.52101489,26.00005673,53.6405771,98.38708225,131.432639,197.9488405,292.4930318,482.5800605,677.8241844,1031.868952,1473.783297,1846.591678,2307.355781,2521.717959,2678.872436,2455.704072,615.5137782,609.7070833,621.3620074,599.6278003,593.9033551, ,605.379322, ,280.7650814,277.7304364, ,283.815988, ,96.29448312,95.38605068,97.20941342
2,North of Scotland,"C00-C97, excluding C44",All cancer types,Male, ,2016-2020,38,35,23,35,60,99,151,195,243,468,927,1579,2411,3419,4004,3422,2521,1473,608,21711,21.38808684,18.06675408,12.26980774,18.5966441,27.41829349,42.423723,67.71027178,91.23020422,119.4766627,203.6677604,366.6857855,639.8359686,1082.185017,1656.845452,2255.850902,2835.269359,3058.167041,3303.579438,3232.838837,630.781107,622.418178,639.2283188,649.2131625,640.4984344, ,657.9859629, ,283.7576872,279.5547116, ,287.9915886, ,96.74580573,95.46314477,98.04139354
3,North of Scotland,"C00-C97, excluding C44",All cancer types,Female, ,2016-2020,39,29,15,40,50,143,286,370,569,913,1565,1821,2246,2781,2822,2696,2347,1626,893,21251,23.3479807,15.75684472,8.37189054,22.56406785,24.4805233,65.65927885,129.3210644,171.1908871,275.1184605,376.7092201,593.7341133,714.613673,982.8160349,1297.531843,1468.56786,1866.286395,2121.907999,2287.080667,2110.312884,600.6607806,592.6117456,608.7918131,550.042438,542.6345803, ,557.4998234, ,277.7724756,273.4033796, ,282.1757262, ,95.83771913,94.55346489,97.13505638
4,North of Scotland,C67,Bladder,All,d,2016-2020,0,0,0,0,0,0,1,0,10,8,23,48,87,132,193,197,201,134,72,1106,0,0,0,0,0,0,0.225142065,0,2.437793602,1.694383964,4.453989322,9.569282603,19.27691623,31.3773218,52.21098649,74.297007,104.1218796,115.8337872,117.7952653,15.84559003,14.9253791,16.80768784,16.18789259,15.22904194, ,17.17560243, ,5.686506023,5.32197585, ,6.062940539, ,95.86354267,90.29639878,101.6840962
5,North of Scotland,C67,Bladder,Male, ,2016-2020,0,0,0,0,0,0,0,0,6,7,21,36,65,97,141,148,143,82,43,789,0,0,0,0,0,0,0,0,2.950041055,3.046312656,8.306797729,14.58777382,29.17545671,47.00614472,79.43930499,122.624157,173.4700067,183.9059837,228.638273,22.92323216,21.35142119,24.58014132,24.54394544,22.83143512, ,26.3175056, ,8.604094542,7.965616124, ,9.266837362, ,98.65647706,91.89175333,105.7874444
6,North of Scotland,C67,Bladder,Female, ,2016-2020,0,0,0,0,0,0,1,0,4,1,2,12,22,35,52,49,58,52,29,317,0,0,0,0,0,0,0.452171554,0,1.934048931,0.412605937,0.75876564,4.709151058,9.626871223,16.32995848,27.06078268,33.91989367,52.43743671,73.14157114,68.53199735,8.960023878,8.000719726,10.00267857,7.831839734,6.989197552, ,8.721747807, ,2.768917504,2.425657831, ,3.134562544, ,89.55345739,79.96542452,99.97456046
7,North of Scotland,C40-C41,Bone and articular cartilage,All,d,2016-2020,1,1,7,2,5,5,1,1,5,0,3,10,5,5,4,2,4,2,4,67,0.290101448,0.26470923,1.909318292,0.547227064,1.18182076,1.108276386,0.225142065,0.23262414,1.218896801,0,0.580955129,1.993600542,1.107868749,1.188534917,1.082092984,0.754284335,2.072077206,1.728862495,6.544181405,0.95990464,0.743912911,1.219044961,0.935576298,0.723972828, ,1.173895435, ,0.807904543,0.59446926, ,1.053572515, ,108.1859195,83.84260167,137.3922936
8,North of Scotland,C40-C41,Bone and articular cartilage,Male, ,2016-2020,1,0,6,1,3,3,1,1,4,0,2,5,4,4,2,1,3,1,0,42,0.56284439,0,3.20081941,0.531332689,1.370914674,1.285567364,0.448412396,0.467847201,1.966694036,0,0.791123593,2.026079698,1.79541272,1.93839772,1.126798652,0.828541601,3.639230909,2.242755898,0,1.2202481,0.879447499,1.649420942,1.207878377,0.869230131, ,1.601370611, ,1.096403206,0.748414426, ,1.509781924, ,122.4150132,88.22597404,165.4695356
9,North of Scotland,C40-C41,Bone and articular cartilage,Female, ,2016-2020,0,1,1,1,2,2,0,0,1,0,1,5,1,1,2,1,1,1,4,25,0,0.543339473,0.558126036,0.564101696,0.979220932,0.918311592,0,0,0.483512233,0,0.37938282,1.962146274,0.437585056,0.466570242,1.040799334,0.692242728,0.904093736,1.406568676,9.45268929,0.706626489,0.457291406,1.043120092,0.663274218,0.428020709, ,0.949227107, ,0.51940588,0.295341131, ,0.805681752, ,90.5111446,58.57404048,133.6123044
10,North of Scotland,"C40-C41, C47+C49",Bone and connective tissue,All,d,2016-2020,5,3,13,8,6,8,10,6,7,4,19,22,19,25,21,24,17,11,9,237,1.450507242,0.79412769,3.545876827,2.188908255,1.418184912,1.773242218,2.251420646,1.395744839,1.706455521,0.847191982,3.679382483,4.385921193,4.209901245,5.942674584,5.680988167,9.05141202,8.806328124,9.508743722,14.72440816,3.395483577,2.976918789,3.856418049,3.373417979,2.952953348, ,3.821460893, ,2.417127843,2.050677957, ,2.813257457, ,95.13181356,83.40481608,108.0458893
