_id,HB,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
1,S08000015,"C00-C97, excluding C44",All cancer types,All,d,2016-2020,11,12,13,24,26,61,94,153,217,367,695,1003,1361,1769,2070,1879,1408,1229,12392,12.35066918,12.04831374,13.11634195,24.51781628,25.12295755,59.83618618,95.1600004,155.4672655,212.8243856,285.5031312,481.1153569,708.0633092,1055.627947,1449.037934,1870.696044,2378.962828,2546.020035,2607.680883,670.5663992,658.8112898,682.4786034,605.9591233,595.1663654, ,616.8475175, ,283.4485599,277.6543184, ,289.3018079, ,97.5226234,95.81304012,99.25505349
2,S08000015,"C00-C97, excluding C44",All cancer types,Male, ,2016-2020,8,7,2,13,8,23,30,33,69,115,268,432,657,959,1146,1000,746,521,6037,17.39395125,13.74867423,3.971957977,26.02290015,15.02319205,45.51120961,64.47730399,71.45486434,144.5419695,191.1092646,394.4366767,636.4265826,1065.226908,1636.630487,2196.496339,2800.88508,3164.369035,3119.3869,681.470812,664.3876257,698.8821356,640.4279931,624.1144199, ,656.9491062, ,279.5438804,271.5566213, ,287.6452969, ,95.65041948,93.2526441,98.0942518
3,S08000015,"C00-C97, excluding C44",All cancer types,Female, ,2016-2020,3,5,11,11,18,38,64,120,148,252,427,571,704,810,924,879,662,708,6355,6.965243435,10.27010373,22.55947498,22.949178,35.82802548,73.91845627,122.4810059,229.7530155,272.9368373,368.5827117,558.0896865,773.9749238,1046.824583,1275.891943,1580.02736,2030.914258,2086.550887,2326.804259,660.5260094,644.3848941,676.9692286,571.4902536,557.4156873, ,585.7378608, ,287.3532395,278.9909358, ,295.8373048, ,99.37031099,96.94202259,101.8440482
4,S08000015,C67,Bladder,All,d,2016-2020,0,0,0,1,0,0,1,2,6,3,8,8,23,48,62,64,62,65,353,0,0,0,1.021575678,0,0,1.01234043,2.032251837,5.884545223,2.333813062,5.538018497,5.647563782,17.83941425,39.31815762,56.03050952,81.02906918,112.1116777,137.9164014,19.10183497,17.16090061,21.20218877,17.99813763,16.13251033, ,19.96437028, ,6.618545503,5.841909538, ,7.442947268, ,107.5025426,96.57922663,119.3230495
5,S08000015,C67,Bladder,Male, ,2016-2020,0,0,0,1,0,0,1,0,4,1,8,5,16,35,47,46,42,37,243,0,0,0,2.00176155,0,0,2.149243466,0,8.379244611,1.661819693,11.77422916,7.36604841,25.94159898,59.73103966,90.08318319,128.8407137,178.154825,221.5303556,27.43041367,24.0896692,31.1049027,26.44810388,23.17058494, ,29.93927327, ,9.713022253,8.37759915, ,11.14575809, ,107.3660025,94.28991906,121.7484032
6,S08000015,C67,Bladder,Female, ,2016-2020,0,0,0,0,0,0,0,2,2,2,0,3,7,13,15,18,20,28,110,0,0,0,0,0,0,0,3.829216925,3.688335639,2.925259617,0,4.066418163,10.40876716,20.4772781,25.6497948,41.58868788,63.03779116,92.02050743,11.43318034,9.396683764,13.78007415,9.548171386,7.836158267, ,11.42680771, ,3.524068754,2.765563839, ,4.37310328, ,107.8054063,88.60293297,129.9346681
7,S08000015,C40-C41,Bone and articular cartilage,All,d,2016-2020,0,0,1,2,0,0,0,0,2,1,2,2,2,1,1,2,1,0,17,0,0,1.008949381,2.043151357,0,0,0,0,1.961515074,0.777937687,1.384504624,1.411890946,1.551253413,0.819128284,0.903717895,2.532158412,1.808252866,0,0.919918398,0.535886367,1.472878469,0.868817986, ,z, ,z,0.699947018, ,z, ,z,101.5061925,59.13109777,162.5212473
8,S08000015,C40-C41,Bone and articular cartilage,Male, ,2016-2020,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2.946419364,3.242699872,0,1.916663472,2.80088508,0,0,0.677294165,0.248555022,1.474184258,0.593947828, ,z, ,z,0.31390689, ,z, ,z,65.94183887,24.19949268,143.5276219
9,S08000015,C40-C41,Bone and articular cartilage,Female, ,2016-2020,0,0,1,2,0,0,0,0,2,1,2,0,0,1,0,1,1,0,11,0,0,2.050861362,4.172577819,0,0,0,0,3.688335639,1.462629808,2.614003215,0,0,1.575175238,0,2.31048266,3.151889558,0,1.143318034,0.570740243,2.045711779,1.143688145, ,z, ,z,1.085987145, ,z, ,z,143.8130447,71.79095375,257.3212622
10,S08000015,"C40-C41, C47+C49",Bone and connective tissue,All,d,2016-2020,2,2,1,3,3,0,1,0,2,4,5,6,7,9,9,14,6,4,78,2.245576215,2.00805229,1.008949381,3.064727035,2.898802794,0,1.01234043,0,1.961515074,3.111750749,3.461261561,4.235672837,5.429386945,7.372154553,8.133461059,17.72510888,10.8495172,8.487163166,4.220802061,3.336368877,5.267751993,3.964539243,3.122453839, ,4.905635934, ,2.669058355,1.94703292, ,3.503191317, ,113.66521,89.84763174,141.8593263
