_id,Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,StandardisedIncidenceRatioQF
1,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1996,58,19,28,55,106,213,302,459,614,1120,1633,2169,2906,3972,4490,3853,2972,1607,678,27254,18.70466939,5.872535081,8.772836791,17.71638959,31.13553652,54.41669392,74.26953941,120.1155622,180.68655,315.3392854,550.5601688,794.5084048,1123.252407,1660.507349,2153.188061,2547.724372,2831.150274,2833.215797,2783.708326,535.2117655,528.8762191,541.6042665,690.396474,681.6497871, ,699.1981495, ,313.0067415,309.000215, ,317.0387188, ,100, 
2,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1997,57,38,38,57,113,194,316,426,608,1068,1577,2104,2791,3645,4143,4000,2767,1571,685,26198,18.83021423,11.73654544,11.86873183,18.0818059,35.0875014,51.18868572,77.87471043,109.6350132,175.0083474,313.9818961,495.581562,770.0979459,1081.514663,1519.326078,2010.716054,2525.156875,2712.93128,2724.356195,2739.233015,515.3698159,509.1477736,521.6489143,656.7481096,648.292782, ,665.2574617, ,298.2654727,294.3557487, ,302.2006341, ,100, 
3,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1998,59,25,35,57,89,176,305,456,647,912,1621,2096,2757,3635,4248,3919,2579,1489,657,25762,19.9061375,7.795398844,10.82304629,17.90673419,28.76135508,48.44067806,75.81764985,115.6429979,182.2027097,272.8921178,491.0811662,758.2115468,1058.345265,1516.067816,2064.952678,2382.327374,2636.636882,2537.015897,2518.495803,507.4186489,501.2411355,513.65329,638.6930541,630.4566133, ,646.9822083, ,291.347036,287.5015194, ,295.2177468, ,100, 
4,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1999,56,28,31,51,90,179,302,421,631,924,1665,2080,2839,3509,4124,4022,2514,1711,670,25847,19.28965833,8.792589103,9.549656674,16.05414339,29.2795284,51.72991781,76.16472766,105.491047,173.7746273,277.8395867,492.6079226,740.8172496,1082.059687,1469.990658,2004.754243,2363.602172,2664.490419,2897.986145,2472.780956,509.6067587,503.4127854,515.8579172,635.8372288,627.6781481, ,644.048268, ,289.1944505,285.3754821, ,293.0384515, ,100, 
5,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2000,44,35,27,47,99,187,300,441,659,983,1711,2118,2922,3457,4124,4019,2717,1574,707,26171,15.53601,11.16990381,8.362136247,14.78470946,31.97622777,56.67147516,77.57289913,109.4135335,177.4826019,294.8799482,494.7045506,748.4284064,1110.030543,1448.637686,1996.379022,2418.505569,2705.23224,2651.393919,2498.586373,516.9130979,510.669215,523.2142669,637.1422003,629.0607743, ,645.2744923, ,291.1166268,287.2941044, ,294.964062, ,100, 
6,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2001,56,31,36,51,113,156,280,420,661,922,1675,2217,2890,3559,4110,3972,2694,1608,746,26197,20.27068605,10.13691373,11.14816845,16.05768171,35.82808859,49.54189625,73.44512731,104.1584001,174.4578873,272.6133031,477.3670996,764.1191433,1104.947028,1486.235927,1983.801369,2398.319003,2538.420224,2706.660607,2538.710226,517.297895,511.0524563,523.6006055,631.0516833,623.0757796, ,639.0776104, ,289.0454707,285.2387988, ,292.8770268, ,100, 
7,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2002,62,39,51,61,106,169,296,434,729,959,1647,2244,2985,3635,4135,4033,2976,1471,739,26771,22.98134804,12.98524011,15.78976699,19.14662549,32.79946531,56.0738981,79.86293793,107.7720001,188.7691423,277.0107107,488.7037334,719.350661,1138.539466,1517.105521,1976.473512,2453.371942,2658.424598,2534.022394,2490.731378,528.4445322,522.1330816,534.8132328,638.4489414,630.4726166, ,646.4747116, ,293.9213035,290.0788141, ,297.7887257, ,100, 
8,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2003,58,43,38,78,96,144,298,454,675,1042,1539,2292,2958,3663,4234,4086,3127,1515,798,27138,21.87655588,14.53920853,11.87377552,24.3049713,29.22463393,49.11691873,83.10488785,113.4030404,171.8121215,294.6565922,464.1889813,707.4292416,1114.099116,1512.267824,2014.128392,2482.698279,2690.795192,2732.191163,2672.740061,535.4246819,529.0731236,541.8334612,642.4317659,634.4506237, ,650.4621046, ,292.9736876,289.1638923, ,296.8080716, ,100, 
9,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2004,51,41,46,55,99,157,257,448,710,1062,1680,2425,3147,3906,4105,4017,3278,1552,811,27847,19.33832591,14.04051888,14.42481067,17.0516199,29.98945825,53.21204151,74.51521618,112.8981044,177.8949267,293.3037268,508.4992009,728.6658654,1162.953984,1596.449066,1950.192881,2427.263664,2722.229604,2872.797275,2688.546329,547.7056822,541.2914413,554.1769648,651.3681069,643.3715629, ,659.4133564, ,298.3510908,294.52697, ,302.1995368, ,100, 
10,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2005,54,22,36,60,119,156,248,512,755,1026,1533,2542,2973,3782,4219,4030,3114,1580,772,27533,20.3394427,7.636873603,11.41205113,18.5880516,35.45180193,51.51949484,74.2372719,131.2702706,185.9395241,276.6512792,461.9431747,744.8385792,1087.206942,1538.398959,1994.205036,2408.875181,2633.270193,2689.315927,2522.051617,538.7851747,532.43963,545.1874728,631.3642265,623.628241, ,639.1472388, ,290.2498551,286.5086665, ,294.0149761, ,100, 
